"","state","SHA_miles","state_controlled_lane_miles","SHA_ratio","capital_disbursement","maintenance_disbursement","admin_disbursement","total_disbursement","rural_interstate_above_170","rural_interstate_total","rural_OPA_above_220","rural_OPA_total","urban_interstate_above_170","urban_interstate_total","urban_OPA_above_220","urban_OPA_total","total_fatalities","rural_I_OFE_OPA_fatalities","urban_I_OFE_OPA_fatalities","total_VMT","rural_VMT","urban_VMT","total_bridges","total_poor_bridges","state_tot_delay_hours","state_tot_commuters","state_avg_delay_hours","coli_index","capital_disbursement_per_vmt","maintenance_disbursement_per_vmt","admin_disbursement_per_vmt","capital_disbursement_per_lm","maintenance_disbursement_per_lm","admin_disbursement_per_lm","rural_interstate_poor_percent","urban_interstate_poor_percent","rural_OPA_poor_percent","urban_OPA_poor_percent","poor_bridges_percent","rural_fatalities_per_100m_VMT","urban_fatalities_per_100m_VMT","overall_score_NOcoli","overall_score_WITHcoli","overall_score_perlm_NOcoli","state_avg_delay_hours_rank","coli_index_rank","capital_disbursement_per_vmt_rank","maintenance_disbursement_per_vmt_rank","admin_disbursement_per_vmt_rank","capital_disbursement_per_lm_rank","maintenance_disbursement_per_lm_rank","admin_disbursement_per_lm_rank","rural_interstate_poor_percent_rank","urban_interstate_poor_percent_rank","rural_OPA_poor_percent_rank","urban_OPA_poor_percent_rank","poor_bridges_percent_rank","rural_fatalities_per_100m_VMT_rank","urban_fatalities_per_100m_VMT_rank","overall_score_NOcoli_rank","overall_score_WITHcoli_rank","overall_score_perlm_NOcoli_rank"
"1","Alabama",10941.116,29706.921,2.71516369993701,1387759,204894,336541,2191890,8.481,570.561,7.132,2046.675,22.342,432.651,24.891,1284.213,934,168,220,67921.49684,11594.92568,18139.5859,16164,586,24297580.2389997,1496228.52660894,16.2392173434013,0.879,20431.8082575402,3016.62963174473,4954.8525232413,46715.0062438312,6897.18062669638,11328.7068693521,1.48643177504246,5.16397743215663,0.348467636532425,1.9382298730818,3.62534026231131,1.44890967511574,1.21281710185016,0.738000183684939,0.778375604774537,0.848677786995805,13,3,14,3,37,29,11,40,28,36,6,2,9,36,38,10,13,21
"2","Alaska",5636.721,11754.095,2.08527173865799,767574,265310,45613,1158736,94.496,981.503,65.826,477.814,1.326,78.425,6.244,139.411,64,17,19,5305.88855,992.22116,1498.34451,1632,134,3473764.36363636,201917.818181818,17.2038525124533,1.271,144664.553875712,50002.934946683,8596.67510355075,65302.6881269889,22571.7079877268,3880.60501467786,9.62768325720859,1.69078737647434,13.776490433516,4.47884313289482,8.21078431372549,1.71332770206191,1.26806618058753,3.16857774862748,2.77811791786199,2.32907667536938,16,45,50,49,44,38,36,20,48,12,50,9,35,44,41,50,50,49
"3","Arizona",6843.514,20046.092,2.92921034427635,1375627,161453,224330,2157099,20.2,909.145,13.693,1241.206,5.2,244.666,41.608,663.92,1054,167,331,65758.27912,10333.3868,22157.40152,8467,117,56516044.3636364,2540442,22.2465399185009,1.032,20919.4495112876,2455.24977479064,3411.43355638349,68623.2009710421,8054.08854753335,11190.7098899875,2.22186779886597,2.12534639058962,1.10320124137331,6.26702012290637,1.38183536081257,1.61612067013692,1.49385748008957,0.783090757123814,0.798639289589675,0.990438323743932,29,33,15,2,27,39,15,39,34,14,27,17,1,41,48,14,14,28
"4","Arkansas",16453.966,38078.351,2.31423542506408,919783,207470,39207,1346667,11.64,438.905,33.661,1876.896,15.915,310.207,61.157,617.582,638,77,55,33918.76191,7446.95818,9458.13616,12941,679,16797766.3499221,789677.621337665,21.271675802928,0.909,27117.2338908051,6116.6737320926,1155.90893629997,24155.0113343931,5448.50274635054,1029.64017533217,2.65205454483316,5.13044515436467,1.79343980700049,9.90265260321706,5.2468897303145,1.03397921861299,0.581509919814899,0.861094627864992,0.881571216981764,0.785589521992389,27,11,22,12,4,14,7,4,37,35,37,27,20,18,7,21,22,16
"5","California",15022.272,52003.894,3.46178620650725,4513968,2331366,580307,10789827,54.642,1209.1,77.248,3332.69,116.589,1243.151,2434.307,6116.816,3847,495,1636,299811.68307,32598.78485,170617.0324,25737,1493,489467011.181818,14341421.8181818,34.1296014709839,1.422,15056.0110059023,7776.10123837527,1935.57166971545,86800.576895261,44830.6044158924,11158.9143689894,4.51922917872798,9.37850671398728,2.31788735225899,39.7969629951269,5.8009869060108,1.51846150792949,0.958872614877341,1.36917531428115,1.32579913821887,1.85246991973639,46,48,3,21,12,41,47,38,46,47,42,50,25,39,23,43,44,47
"6","Colorado",9031.538,23022.464,2.54911887654129,1051281,534394,222838,1941784,53.929,648.121,27.004,2568.867,20.171,303.718,121.302,1067.407,622,117,258,48642.0466,9071.35041,21772.41377,8869,469,48800090.7272727,2093025.18181818,23.3155774479888,1.053,21612.5980192618,10986.2564869958,4581.18059530826,45663.2704475073,23211.8508253504,9679.15510694251,8.3208228093211,6.64135810192349,1.05120272867377,11.3641750522528,5.28808208366219,1.28977489251239,1.18498574721878,1.2824063535479,1.24956001614614,1.3939717299032,32,34,16,34,35,27,38,33,47,40,26,31,21,32,36,42,41,41
"7","Connecticut",3715.2,9827.22,2.64513888888889,928035,266426,79535,2023243,0.21,28.74,0.96,121.97,5,317.6,69.97,698,295,14,127,29844.93826,1176.44625,17102.75781,4361,231,45572340.2112929,1434047.16562051,31.7788293884838,1.216,31095.2226442971,8927.00791266439,2664.94101301585,94435.1505308724,27111.0242774661,8093.33667100157,0.730688935281837,1.57430730478589,0.787078789866361,10.0243553008596,5.29695024077047,1.1900246186343,0.74257030012869,0.769210846624667,0.764208032296962,1.02245496773391,42,43,29,25,22,43,40,30,13,8,21,28,22,25,11,12,9,32
"8","Delaware",5465.57,11997.76,2.19515256414244,591785,450218,357476,1780374,0,0,0.61,99.25,3.5,40.38,10.69,212.68,116,13,48,8345.22961,871.19099,3621.6457,875,17,1011127.19097406,101112.719097406,10,1.079,70912.9679656591,53949.1447258094,42835.9693748438,49324.6239298002,37525.1713653215,29795.2284426426,NA,8.66765725606736,0.614609571788413,5.02633063757758,1.94285714285714,1.49221010653473,1.32536432263377,2.64057179742664,2.36130355933492,1.51142678378823,8,36,49,50,50,32,45,50,NA,44,16,11,4,38,43,49,49,43
"9","Florida",12135.832,45012.826,3.70908446985753,6509736,1495838,450415,10886766,1.099,717.267,4.351,2596.855,12.393,777.899,81.075,3879.958,3331,370,1328,208075.91888,20614.21318,85565.92676,12680,459,149955691.605436,7549464.44874369,19.8630899745994,1.003,31285.3886938942,7188.90493456222,2164.66663910186,144619.580205873,33231.3727647315,10006.3701843559,0.153220488325826,1.59313741244043,0.16754882348071,2.08958447488349,3.6198738170347,1.79487811040479,1.55201965348292,0.667304481451024,0.694647826976549,1.12968006514242,25,27,30,19,14,49,44,35,1,9,2,4,8,45,49,5,5,35
"10","Georgia",17923.171,49496.955,2.76161818687106,1564658,616874,484060,3306642,4.875,538.251,9.272,2428.363,9.628,708.81,46.455,2355.549,1664,185,506,115966.8266,13525.43715,42303.02504,14987,319,101217068.166868,3468201.44600124,29.1843105836801,0.888,13492.2895268741,5319.40053967123,4174.1247406006,31611.1970928313,12462.8676652938,9779.59149204229,0.905711275966046,1.35833298062951,0.381821004520329,1.97215171495053,2.12851137652632,1.36779312896367,1.19613195397149,0.637148864838344,0.681794818899638,0.744888937348917,40,5,2,9,32,19,25,34,18,5,8,3,6,35,37,2,2,13
