,urban_area,delay_2022
1,Chicago IL,155
3,Boston MA,134
4,New York City NY,117
7,Philadelphia PA,114
8,Miami FL,105
13,Los Angeles CA,95
14,San Francisco CA,97
19,Washington DC,83
26,Houston TX,74
27,Atlanta GA,74
33,New Orleans LA,77
36,Portland OR,72
41,Stamford CT,73
53,Dallas TX,56
62,Baltimore MD,55
66,San Diego CA,54
68,Denver CO,54
79,Austin TX,53
92,Seattle WA,46
109,Concord CA,54
123,Providence RI,42
126,Las Vegas NV,41
130,Nashville TN,41
162,Sacramento CA,36
174,San Juan PR,41
191,Pittsburgh PA,34
203,San Antonio TX,32
210,Milwaukee WI,32
225,Tampa FL,30
252,Hartford CT,30
271,Phoenix AZ,26
282,Minneapolis MN,26
289,Sarasota/Bradenton FL,36
307,Baton Rouge LA,28
317,Charlotte NC,25
329,Framingham MA,32
338,Eugene OR,28
342,Hilo HI,29
347,Indianapolis IN,24
348,Detroit MI,23
351,Oceanside CA,29
358,Jacksonville FL,24
360,Lawrence MA,30
365,Birmingham AL,24
372,Santa Cruz CA,26
378,Bridgeport CT,28
379,McAllen TX,24
383,Fort Myers FL,29
386,Savannah GA,25
394,Richmond VA,23
405,Tucson AZ,23
407,Worcester MA,23
410,Greenville SC,23
411,Allentown PA,23
416,Clearwater/St. Petersburg FL,26
431,San Rafael CA,28
434,Escondido CA,25
438,Honolulu HI,22
441,Cleveland OH,20
447,Tallahassee FL,23
452,Naples FL,23
456,Boulder CO,23
468,Lancaster PA,22
471,Lexington KY,22
475,Albuquerque NM,20
484,Bend OR,23
485,Vacaville CA,24
487,Gainesville FL,22
496,Spokane WA,20
504,Port St. Lucie FL,22
507,Columbus OH,18
509,Watsonville CA,24
514,Wilmington NC,20
520,Missoula MT,22
522,Pensacola FL,19
524,Lowell MA,22
526,Bozeman MT,22
528,Grand Rapids MI,18
530,St. Louis MO,17
533,Salem OR,19
537,Fredericksburg VA,24
540,Kansas City MO,17
545,Colombia SC,20
556,Reno NV,18
560,New Bedford MA,20
568,Charleston SC,17
571,Davis CA,20
575,Schenectady NY,20
580,Gresham OR,19
581,North Charleston SC,19
592,Wilmington DE,19
594,Napa CA,18
595,Oxnard CA,16
601,Lakeland FL,16
603,Monterey CA,20
604,Madison WI,16
605,Durham NC,16
611,Gainesville GA,17
612,Santa Rosa CA,16
613,Danbury CT,18
615,Oklahoma City OK,14
616,Panama City FL,17
618,Raleigh NC,14
621,Frederick MD,18
627,Ocala FL,16
628,Fresno CA,14
632,Omaha NE,14
633,Meriden CT,18
635,Strathearn CA,17
636,New Haven CT,14
644,Ogden UT,14
645,Provo UT,14
646,Tacoma WA,16
649,New Braunfels TX,17
652,Salinas CA,14
663,Bakersfield CA,13
678,Dublin CA,16
679,Myrtle Beach SC,13
680,Santa Fe NM,14
681,Mobile AL,13
682,Ocean Township NJ,17
683,Manchester NH,13
688,Salt Lake City UT,12
690,Roanoke VA,13
