"","state","SHA_miles","state_controlled_lane_miles","SHA_ratio","capital_disbursement","maintenance_disbursement","admin_disbursement","total_disbursement","rural_interstate_above_170","rural_interstate_total","rural_OPA_above_220","rural_OPA_total","urban_interstate_above_170","urban_interstate_total","urban_OPA_above_220","urban_OPA_total","total_fatalities","rural_I_OFE_OPA_fatalities","urban_I_OFE_OPA_fatalities","total_VMT","rural_VMT","urban_VMT","total_bridges","total_poor_bridges","state_tot_congestion_hours","state_tot_commuters","state_avg_congestion_hours","capital_disbursement_per_vmt","maintenance_disbursement_per_vmt","admin_disbursement_per_vmt","rural_interstate_poor_percent","urban_interstate_poor_percent","rural_OPA_poor_percent","urban_OPA_poor_percent","poor_bridges_percent","rural_fatalities_per_100m_VMT","urban_fatalities_per_100m_VMT","overall_score","capital_disbursement_per_vmt_rank","maintenance_disbursement_per_vmt_rank","admin_disbursement_per_vmt_rank","rural_interstate_poor_percent_rank","urban_interstate_poor_percent_rank","rural_OPA_poor_percent_rank","urban_OPA_poor_percent_rank","poor_bridges_percent_rank","rural_fatalities_per_100m_VMT_rank","urban_fatalities_per_100m_VMT_rank","overall_score_rank"
"1","Alabama",10941.116,29706.921,2.71516369993701,1387759,204894,336541,2191890,8.481,570.561,7.132,2046.675,22.342,432.651,24.891,1284.213,934,168,220,67921.49684,11594.92568,18139.5859,16164,586,16042202.2487563,1496228.52660894,10.7217593859906,20431.8082575402,3016.62963174473,4954.8525232413,1.48643177504246,5.16397743215663,0.348467636532425,1.9382298730818,3.62534026231131,1.44890967511574,1.21281710185016,0.555129439453485,14,3,37,28,36,6,2,9,36,38,8
"2","Alaska",5636.721,11754.095,2.08527173865799,767574,265310,45613,1158736,94.496,981.503,65.826,477.814,1.326,78.425,6.244,139.411,64,17,19,5305.88855,992.22116,1498.34451,1632,134,1630315.11781369,201917.818181818,8.07415181331673,144664.553875712,50002.934946683,8596.67510355075,9.62768325720859,1.69078737647434,13.776490433516,4.47884313289482,8.21078431372549,1.71332770206191,1.26806618058753,2.79528538081162,50,49,44,48,12,50,9,35,44,41,50
"3","Arizona",6843.514,20046.092,2.92921034427635,1375627,161453,224330,2157099,20.2,909.145,13.693,1241.206,5.2,244.666,41.608,663.92,1054,167,331,65758.27912,10333.3868,22157.40152,8467,117,48522254.25152,2540442,19.0999260174096,20919.4495112876,2455.24977479064,3411.43355638349,2.22186779886597,2.12534639058962,1.10320124137331,6.26702012290637,1.38183536081257,1.61612067013692,1.49385748008957,0.704296724422537,15,2,27,34,14,27,17,1,41,48,16
"4","Arkansas",16453.966,38078.351,2.31423542506408,919783,207470,39207,1346667,11.64,438.905,33.661,1876.896,15.915,310.207,61.157,617.582,638,77,55,33918.76191,7446.95818,9458.13616,12941,679,4338297.52240854,789677.621337665,5.49375771224178,27117.2338908051,6116.6737320926,1155.90893629997,2.65205454483316,5.13044515436467,1.79343980700049,9.90265260321706,5.2468897303145,1.03397921861299,0.581509919814899,0.590579378901625,22,12,4,37,35,37,27,20,18,7,10
"5","California",15022.272,52003.894,3.46178620650725,4513968,2331366,580307,10789827,54.642,1209.1,77.248,3332.69,116.589,1243.151,2434.307,6116.816,3847,495,1636,299811.68307,32598.78485,170617.0324,25737,1493,578067054.112538,14341421.8181818,40.3075135395344,15056.0110059023,7776.10123837527,1935.57166971545,4.51922917872798,9.37850671398728,2.31788735225899,39.7969629951269,5.8009869060108,1.51846150792949,0.958872614877341,0.951364380403861,3,21,12,46,47,42,50,25,39,23,35
"6","Colorado",9031.538,23022.464,2.54911887654129,1051281,534394,222838,1941784,53.929,648.121,27.004,2568.867,20.171,303.718,121.302,1067.407,622,117,258,48642.0466,9071.35041,21772.41377,8869,469,58578970.4920387,2093025.18181818,27.987704591854,21612.5980192618,10986.2564869958,4581.18059530826,8.3208228093211,6.64135810192349,1.05120272867377,11.3641750522528,5.28808208366219,1.28977489251239,1.18498574721878,0.86577083918762,16,34,35,47,40,26,31,21,32,36,29
"7","Connecticut",3715.2,9827.22,2.64513888888889,928035,266426,79535,2023243,0.21,28.74,0.96,121.97,5,317.6,69.97,698,295,14,127,29844.93826,1176.44625,17102.75781,4361,231,28452751.0693672,1434047.16562051,19.8408753571615,31095.2226442971,8927.00791266439,2664.94101301585,0.730688935281837,1.57430730478589,0.787078789866361,10.0243553008596,5.29695024077047,1.1900246186343,0.74257030012869,0.903813564582249,29,25,22,13,8,21,28,22,25,11,32
"8","Delaware",5465.57,11997.76,2.19515256414244,591785,450218,357476,1780374,0,0,0.61,99.25,3.5,40.38,10.69,212.68,116,13,48,8345.22961,871.19099,3621.6457,875,17,24170694.9732601,362141.680398853,66.7437532919138,70912.9679656591,53949.1447258094,42835.9693748438,NA,8.66765725606736,0.614609571788413,5.02633063757758,1.94285714285714,1.49221010653473,1.32536432263377,2.42087737351757,49,50,50,NA,44,16,11,4,38,43,49
"9","Florida",12135.832,45012.826,3.70908446985753,6509736,1495838,450415,10886766,1.099,717.267,4.351,2596.855,12.393,777.899,81.075,3879.958,3331,370,1328,208075.91888,20614.21318,85565.92676,12680,459,246806939.222572,7892008.44874369,31.2730201475976,31285.3886938942,7188.90493456222,2164.66663910186,0.153220488325826,1.59313741244043,0.16754882348071,2.08958447488349,3.6198738170347,1.79487811040479,1.55201965348292,1.0986159892912,30,19,14,1,9,2,4,8,45,49,40
"10","Georgia",17923.171,49496.955,2.76161818687106,1564658,616874,484060,3306642,4.875,538.251,9.272,2428.363,9.628,708.81,46.455,2355.549,1664,185,506,115966.8266,13525.43715,42303.02504,14987,319,135295166.172381,3468201.44600124,39.0101810055969,13492.2895268741,5319.40053967123,4174.1247406006,0.905711275966046,1.35833298062951,0.381821004520329,1.97215171495053,2.12851137652632,1.36779312896367,1.19613195397149,0.900900231189775,2,9,32,18,5,8,3,6,35,37,31
